Number,Price,Baths,Rooms,Heating,Floors,Parking,Size,Toilets
305,45500,1,3,1,2,1,90,2
306,56950,1,4,1,2,2,88,2
307,28500,1,2,0,2,0,49,1
308,46500,1,3,0,2,1,76,1
309,68950,2,4,1,1,1,80,1
310,57500,1,3,1,1,1,67,1
311,49950,1,3,1,2,4,86,2
312,35000,2,3,0,2,4,114,2
313,70000,1,3,1,2,1,70,2
314,26750,1,2,1,1,3,52,1
315,54950,1,4,1,2,1,72,2
316,62950,2,4,1,2,1,84,3
317,58500,1,4,1,2,4,100,2
318,29950,1,1,1,2,4,35,1
319,29950,1,1,1,2,0,35,1
320,38950,1,2,1,2,0,84,1
321,62000,1,3,0,3,3,113,1
322,72500,1,3,1,1,1,85,1
323,68500,1,5,1,1,2,100,1
325,34500,1,3,1,2,1,83,1
326,38950,1,3,0,2,1,58,1
327,90000,1,7,0,3,1,178,1
328,85000,1,6,0,3,4,189,1
329,60000,1,5,0,3,4,135,2
330,36000,1,3,0,2,0,68,1
331,47995,1,3,1,3,4,118,1
332,42950,1,3,1,2,1,74,1
333,67500,1,3,1,2,1,96,1
334,65000,1,5,1,2,4,117,1
335,37500,1,3,1,2,1,77,1
336,79950,2,4,1,2,2,93,3
337,29950,1,2,0,2,3,62,1
338,64950,1,3,1,2,1,75,2
339,92500,2,4,1,2,2,132,3
340,59750,1,3,1,1,1,79,1
341,36250,1,3,1,2,3,84,1
342,35500,1,3,0,2,1,62,1
343,38950,1,3,1,2,1,76,1
344,33500,1,2,0,2,3,52,1
345,57950,1,4,1,3,4,113,1
346,55950,1,4,0,2,4,108,1
347,47950,1,3,1,2,1,73,2
348,28950,1,2,0,2,0,56,1
349,59000,1,4,1,2,2,82,2
350,61000,1,4,1,2,1,92,2
351,54950,1,3,1,2,1,77,2
352,87000,2,4,1,2,2,251,3
353,45500,1,2,1,1,1,54,1
354,47950,1,5,1,2,1,90,1
355,38000,1,2,0,1,4,54,1
356,35500,1,2,0,1,4,58,1
357,54950,1,2,1,2,4,57,1
358,33500,1,3,0,2,4,64,1
359,68950,2,4,1,2,2,98,3
360,69950,2,4,1,2,2,96,3
361,68000,2,3,1,2,2,100,2
362,67500,1,4,1,2,1,104,2
363,63500,1,4,1,2,1,82,2
364,34500,1,2,0,1,3,39,1
365,42000,1,3,1,2,1,73,1
366,70000,1,5,1,2,0,226,1
367,37500,1,3,1,2,1,54,1
368,75950,2,5,1,2,1,96,2
369,44850,1,2,1,1,4,58,1
370,52000,1,3,1,2,1,110,1
371,59950,1,3,1,2,2,92,1
372,87950,1,3,1,3,1,103,2
373,72500,2,4,0,2,2,110,2
374,61500,2,4,1,3,1,95,3
375,49500,1,4,1,2,1,87,2
376,31995,1,3,0,2,0,67,1
377,41950,1,3,1,2,1,62,1
378,62500,2,4,1,2,1,121,2
380,49950,1,3,1,2,1,99,1
381,46250,1,3,1,2,1,62,1
382,36995,1,2,0,2,1,61,1
383,47250,1,4,1,2,1,93,1
384,85000,1,2,1,1,2,90,2
385,85000,1,4,1,2,1,130,2
386,32950,1,3,0,2,4,79,2
387,36000,1,3,1,2,1,66,1
388,33995,1,3,0,2,3,82,1
389,48950,1,3,1,2,1,64,1
390,42950,1,3,1,2,1,64,1
391,25750,1,2,1,2,0,51,1
392,69500,1,5,1,3,0,132,2
393,69950,1,2,1,2,2,113,1
394,93000,2,4,1,2,2,131,2
395,36950,1,3,1,2,2,75,1
396,84000,2,5,1,2,1,127,2
397,56950,1,4,1,2,1,87,1
399,39950,1,3,1,2,3,69,1
400,49950,1,3,1,2,0,85,2
402,37950,1,3,0,3,1,74,2
403,32950,1,2,0,1,1,54,1
404,28950,1,3,1,2,1,58,1
405,48950,1,3,1,2,1,99,2
406,33500,1,2,0,2,4,49,1
407,28500,1,1,0,1,4,26,1
408,45950,1,3,1,2,1,79,2
409,45000,1,3,1,2,4,86,1
